epoch, lambda=0.001, lambda=0.0015, lambda=0.0022500000000000003, lambda=0.003375, lambda=0.0050625, lambda=0.00759375, lambda=0.011390625, lambda=0.0170859375, lambda=0.02562890625, lambda=0.038443359375, lambda=0.0576650390625, lambda=0.08649755859375
11, 0.15258950594065882, 0.1523185565736104, 0.1532214446880632, 0.15279041152022632, 0.1534101717295118, 0.15175665046195344, 0.15128478900739625, 0.15473980009169627, 0.155330190150937, 0.15964703905435942, 0.15847683474938862, 0.16241416334617045
12, 0.1516293890836862, 0.15131764763034666, 0.1523136150370302, 0.15189920798102116, 0.15303152768681766, 0.15043993946046064, 0.1512354071509797, 0.15439106923708737, 0.1550273693860876, 0.16005506210667972, 0.15817695295760406, 0.16103495244523355
13, 0.15094038771912954, 0.15059222315053764, 0.15129864367399373, 0.15000822971956682, 0.15190892546411794, 0.15049409710056572, 0.1502447900109822, 0.15317752959361694, 0.15409880833407677, 0.15832843612319636, 0.15791240721534158, 0.16179608495800515
14, 0.14997411284562667, 0.14942562468698226, 0.14967461526186077, 0.14869055729483258, 0.1508025475728468, 0.1497572214004587, 0.1491314416448171, 0.15068074966357872, 0.15385097231690723, 0.15956191413021426, 0.15771841149014684, 0.16353992354887276
15, 0.1480686514434633, 0.1480432165537097, 0.14689205095425403, 0.1480088073811737, 0.14930549441239574, 0.14832979688421016, 0.14847284956242718, 0.1503984974313368, 0.15468454686322028, 0.15627464998835192, 0.15726586407785095, 0.16188954966725205
16, 0.1482278825074945, 0.1468127951225725, 0.14538751374181444, 0.148188193137904, 0.14715707156235563, 0.14675195016285283, 0.14736091541136706, 0.14931008775449753, 0.15346906517057365, 0.15640039370621653, 0.15895430413320724, 0.1613192108539849
17, 0.14678217136466645, 0.14577823286075495, 0.14396590197733974, 0.14670262577037466, 0.14638344564251213, 0.14459344868744817, 0.14527072879061773, 0.14918640916855233, 0.1529218410160386, 0.15673721502118546, 0.15589533859485674, 0.1623137816579846
18, 0.1441011714219936, 0.1452651604620606, 0.14365151726848824, 0.14565234010766642, 0.14548582627297077, 0.14426125343308394, 0.14334605410605045, 0.14869391839126556, 0.15335766042177654, 0.15771435056179597, 0.15629897896695977, 0.16229159042505328
19, 0.14272881535223833, 0.14431049763736292, 0.14223841645920896, 0.14426014705244186, 0.14530046849996217, 0.1418218471894814, 0.1417450722366936, 0.1490805090472263, 0.15233762295042252, 0.15712094557207856, 0.15622301176766146, 0.16107566964758988
20, 0.14140155710074878, 0.14273821664802705, 0.14119854879386037, 0.14350559611295918, 0.1441360096624191, 0.1412811638082104, 0.14063672482946174, 0.14782844162764433, 0.15226686489677596, 0.15569054093131915, 0.1567782805258778, 0.1594619718265453
21, 0.14007762014138156, 0.14138770210496457, 0.13966392742863556, 0.14265704552964023, 0.14088622322427402, 0.14096212398996116, 0.1393682673160395, 0.14634249527258156, 0.15139041441934709, 0.15724240689427135, 0.15835234467038586, 0.15939247829150074
22, 0.13960853129746043, 0.1400068164773334, 0.1388228462621065, 0.14148768460308514, 0.13922533476154086, 0.13969378371293245, 0.1368685885759003, 0.14527557974993455, 0.15067803321605047, 0.1594892925266662, 0.15758098339968993, 0.16083236132942058
23, 0.1379263135335796, 0.13783811698373374, 0.1368650378345759, 0.1401807203902579, 0.13876539985518413, 0.13853651093636812, 0.13669825923430465, 0.14479280882570525, 0.15127202664634332, 0.1554891075062336, 0.1590572743627853, 0.16016458431748395
24, 0.1376916756351371, 0.13607846035133067, 0.13561393053952236, 0.1382308643728853, 0.13714341765698393, 0.13636247290618828, 0.13561792532111464, 0.1436740385754773, 0.1494133965626133, 0.15591795395411603, 0.15579739173791624, 0.160965631328953
25, 0.13663594184672215, 0.13430311247091944, 0.1347575832545855, 0.13664820588310747, 0.136077562197706, 0.13526327438016106, 0.13453638087957562, 0.14365185239873754, 0.14994205221750037, 0.15287604870840216, 0.15623768528509693, 0.1606108348147546
26, 0.13492791913851343, 0.1320498808228191, 0.13300911193595152, 0.13577579864125752, 0.13488707347360257, 0.13309702588853697, 0.13264059908612968, 0.14344110495458345, 0.14857161486403964, 0.1539274332808946, 0.15864726171517285, 0.16066341828443376
27, 0.13392626426832044, 0.13118215906099973, 0.13040219631042924, 0.13377776851521792, 0.13382208369194173, 0.1317909015764843, 0.12982886103752897, 0.14387314551847977, 0.14803883981258983, 0.15236450144313507, 0.16049565329830828, 0.16059484270698313
28, 0.1325991792737838, 0.1290793407854167, 0.12710871675182153, 0.13278901311363941, 0.13241608835140486, 0.13052173348889243, 0.12809682192025246, 0.14155504067890953, 0.1476731361311782, 0.15322762848221796, 0.1608383931976865, 0.15937728654009833
29, 0.1313084849860925, 0.12637960773887347, 0.12450719170394343, 0.1314287894756231, 0.13110583413222934, 0.12886458967990552, 0.12643899439645565, 0.14136097997245914, 0.14738882052940314, 0.15435082641283251, 0.1593050411433974, 0.15999758463246389
30, 0.12940763024055554, 0.12379314496574349, 0.12353097906716824, 0.12953752321772757, 0.12857536922685597, 0.1272138664167055, 0.12390117739451828, 0.13996228087827833, 0.14744978932109667, 0.15289902568598768, 0.15934258661493436, 0.159865583118435
31, 0.127926812649742, 0.12095539789652861, 0.11982664301340318, 0.12867548295276585, 0.12729705336979627, 0.12553335103138466, 0.12401512958445891, 0.13784498599305028, 0.15038155492614294, 0.15202256471551048, 0.1608789648086567, 0.15900433083970925
32, 0.12704903499697956, 0.11904197157053215, 0.11754131385254457, 0.1271290691686131, 0.12753426476894156, 0.12365636777513274, 0.12093666526557219, 0.1383688192608688, 0.1463015070210029, 0.1512792524796639, 0.16262878342836673, 0.15938684200632847
33, 0.12642842482564223, 0.11753108133070035, 0.11620683780113361, 0.12463777008321315, 0.12165267802469792, 0.12143625777622773, 0.1188464675826803, 0.13830908822893365, 0.14585629750741236, 0.15197508305453294, 0.16109270385806557, 0.16091192837661267
